# Wind model
# MNmodel1 FRDM
# kappa = 1 cm^2 g^-1
# m_w = 0.01 M_sun
# v_w = 0.1 c
# Y_e = 0.25
#
# Columns
# 1) time [days]
# 2) M_g (AB)
# 3) M_r (AB)
# 4) M_i (AB)
# 5) M_z (AB)
# 6) M_y (AB)
0.5 -13.1442621293 -13.1930872123 -13.1159259127 -13.0112480027 -12.9067375061
1.0 -12.9969962084 -13.3802646199 -13.4983557998 -13.5100682768 -13.4817888905
1.5 -12.8340842854 -13.4360935795 -13.685876973 -13.7772102793 -13.801647319
2.0 -12.5407510399 -13.3375734224 -13.7070536356 -13.8715686707 -13.9449316018
2.5 -12.0850196091 -13.0803179503 -13.5737717364 -13.8148428533 -13.9398827479
3.0 -11.5482078583 -12.7378445777 -13.3543679043 -13.6721172703 -13.8494125642
3.5 -10.9660090102 -12.3464773654 -13.0851978927 -13.4796625851 -13.7097121694
4.0 -10.3639560757 -11.9284094797 -12.785986778 -13.2555438939 -13.5376640792
4.5 -9.75005904027 -11.4923991621 -12.4656907036 -13.0087371509 -13.3422050999
5.0 -9.12377151226 -11.0398418118 -12.1267558098 -12.7422763451 -13.1267372163
5.5 -8.50377928046 -10.5854423019 -11.7811049355 -12.4662404139 -12.8999966149
6.0 -7.87152274868 -10.1170775341 -11.4207064123 -12.1751643986 -12.6583005662
6.5 -7.23997095698 -9.64494519173 -11.0538326687 -11.8760481512 -12.4077201364
7.0 -6.63860284444 -9.19173181101 -10.698588547 -11.5840033739 -12.1611798551
7.5 -5.9648627576 -8.68101142499 -10.295769463 -11.2509207639 -11.8785638541
8.0 -5.22616825502 -8.11786987398 -9.8488764984 -10.8792900609 -11.5616930949
8.5 -4.56860530544 -7.61372037865 -9.4463068822 -10.5425799134 -11.2731483172
9.0 -3.86260158999 -7.07019369281 -9.0103067516 -10.1763741913 -10.9582339806
9.5 -3.19228855869 -6.55212315085 -8.59290323119 -9.82437270757 -10.6545258096
10.0 -2.45738646896 -5.98226040331 -8.13204081992 -9.43437730948 -10.3171082586
10.5 -1.7872517723 -5.46109572417 -7.70912455159 -9.07537072477 -10.0057385305
11.0 -1.05914750638 -4.89336242837 -7.24698988018 -8.68194922304 -9.66376678526
11.5 -0.342210585585 -4.33309263769 -6.78969426286 -8.29166932842 -9.32389651502
12.0 0.370191880717 -3.77526365491 -6.33327130055 -7.90124006509 -8.98332988034
12.5 1.13968756855 -3.171495382 -5.83800495119 -7.47657197767 -8.61224578843
13.0 1.85059373573 -2.61292352939 -5.3789589183 -7.08226141896 -8.2672882805
13.5 2.58522676872 -2.03482425585 -4.90291934775 -6.67257366912 -7.90840210464
14.0 3.37350958682 -1.41351378763 -4.39023991626 -6.23047304924 -7.52057785851
