# Dynamic ejecta NS-BH merger
# MNmodel2 FRDM
# kappa = 10 cm^2 g^-1
# m_ns = 1.4 M_sun
# m_bh = 7.0 M_sun
# chi = 0.9
# m_ej = 0.07 M_sun
# v_ej = 0.18 c
#
# Columns
# 1) time [days]
# 2) M_g (AB)
# 3) M_r (AB)
# 4) M_i (AB)
# 5) M_z (AB)
# 6) M_y (AB)
0.001065 -5.35749891981 -4.96917837327 -4.64563106409 -4.39532066893 -4.19592404096
0.001303 -5.65838841543 -5.28519776758 -4.9701481007 -4.72489474548 -4.52880952216
0.001594 -5.95970150829 -5.60261466496 -5.29659928576 -5.05671525514 -4.86414278638
0.001939 -6.25148381045 -5.9110741148 -5.61440600213 -5.38007028261 -5.19112468211
0.002345 -6.53108406108 -6.2079336607 -5.92093219229 -5.69232783473 -5.50712583
0.002785 -6.7804554712 -6.47404247872 -6.19641106667 -5.97335654624 -5.79177700411
0.003257 -7.00429817512 -6.714123333 -6.44558039955 -6.22790427941 -6.0498332026
0.003892 -7.25469215685 -6.98415039244 -6.72659567722 -6.51541694477 -6.3415818272
0.00466 -7.50239940812 -7.25310605733 -7.00744622915 -6.8032957077 -6.63403998187
0.005678 -7.76895963601 -7.54450282718 -7.31275414689 -7.1168174611 -6.95291088562
0.006967 -8.03876033184 -7.84174535362 -7.62538173203 -7.4385239679 -7.2805272285
0.008455 -8.28938300383 -8.11997568472 -7.9191110047 -7.7413959285 -7.58934843797
0.009969 -8.50073315041 -8.35603751054 -8.16906759235 -7.99954748646 -7.85283148924
0.012053 -8.74438842588 -8.62875413589 -8.45815520318 -8.2982905426 -8.15785568432
0.014491 -8.98345097612 -8.89606994388 -8.7414222185 -8.59096710786 -8.45665355297
0.017876 -9.25836153791 -9.20311984372 -9.0666642337 -8.92694451094 -8.79961583492
0.022134 -9.5361634065 -9.51486296783 -9.39767821501 -9.26933719564 -9.14941422895
0.027289 -9.80334117014 -9.81690385106 -9.71958051114 -9.60297633001 -9.49069559328
0.033345 -10.0468026593 -10.0963386471 -10.019584574 -9.91514776497 -9.81079428258
0.040708 -10.2733113207 -10.3623341327 -10.3082503842 -10.2172403637 -10.1216417323
0.050692 -10.4931467714 -10.6320113207 -10.6066854378 -10.5327361825 -10.4482738203
0.062374 -10.6633889131 -10.8573378483 -10.8639850357 -10.8090457338 -10.7370103059
0.07414 -10.7692106873 -11.0170937922 -11.0552435148 -11.0190810893 -10.9593416429
0.087199 -10.8339446287 -11.139728727 -11.2119165873 -11.1960978914 -11.1497068557
0.105968 -10.8670134435 -11.2525845832 -11.3720460783 -11.3845821814 -11.3568455106
0.126433 -10.8579030026 -11.3241152981 -11.4917842338 -11.533359615 -11.5247916251
0.155447 -10.8140788699 -11.3820565882 -11.6111547388 -11.6899188288 -11.7059989791
0.194273 -10.7502318394 -11.4316639 -11.7299888147 -11.8509088665 -11.8950705199
0.241138 -10.6919893711 -11.4823499778 -11.8478266346 -12.0098819252 -12.0815928318
0.295737 -10.643448478 -11.5348720494 -11.9632069542 -12.1639743556 -12.2617456275
0.356173 -10.5952667174 -11.5790898548 -12.0653257773 -12.3019199428 -12.4239240297
0.426103 -10.529101878 -11.6055814336 -12.150259735 -12.4231690904 -12.5698473023
0.500522 -10.4408504345 -11.6060187013 -12.2069651636 -12.5149750559 -12.6856062561
0.601126 -10.2989186572 -11.5729262147 -12.2433256056 -12.5948322643 -12.795284395
0.729674 -10.0962115388 -11.4952415992 -12.245910127 -12.6479035419 -12.883154906
0.918308 -9.78988774835 -11.3491691868 -12.2033931816 -12.6708258949 -12.951467364
1.134712 -9.45037123737 -11.1671125286 -12.1237099034 -12.6561329397 -12.9821552939
1.397721 -9.07410275831 -10.9525801757 -12.0148630167 -12.614648602 -12.9880094398
1.693458 -8.70060033821 -10.7317195839 -11.8941486569 -12.5579860555 -12.9766290287
1.994021 -8.37122525116 -10.5331530599 -11.781655226 -12.5006936123 -12.9585639403
2.481339 -7.92463435696 -10.2606909368 -11.6240506543 -12.4169393023 -12.9275717516
3.015402 -7.48501244974 -9.98246343847 -11.4524891298 -12.3141304576 -12.8741634896
3.580424 -7.00093003179 -9.65790891387 -11.2334943946 -12.1633139437 -12.772594443
4.373976 -6.23211018279 -9.11274137263 -10.8364169856 -11.8620806759 -12.5410188385
5.178262 -5.34564335725 -8.45894061942 -10.3366590113 -11.4622176375 -12.2142768626
6.252495 -4.03861841603 -7.47023385713 -9.55843986538 -10.8207377915 -11.6737314844
7.351757 -2.59307621458 -6.35752785859 -8.66524135331 -10.0703223999 -11.0297387366
8.723569 -0.662692580336 -4.85313593934 -7.44062015592 -9.02777013018 -10.1243937261
10.94367 2.74041793445 -2.1713908627 -5.22914469382 -7.12198625082 -8.45270682787
13.33513 6.75480051074 1.01795555066 -2.5723339161 -4.80990335115 -6.41006317535
15.72659 10.9836414378 4.39255036704 0.255883348776 -2.3329960738 -4.21341196522
18.99035 16.7990599027 9.04546868116 4.17108590115 1.11224571784 -1.15144587807
23.83094 25.1178000756 15.7146107712 9.80005843456 6.08648488799 3.27426530186
29.72858 34.662377028 23.3789192811 16.2830085395 11.8339650104 8.38726154803
36.49329 45.1114289369 31.780363802 23.3998905324 18.1563978262 14.0040329191
